ID,Current_Job,Career_Interest,Qualification,Years_of_experience,Industry
832, Social Media Marketing Specialist,Dentist,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",10,Human Resources
833, Digital Marketing Community,Dental Hygienist,Teaching English as a Foreign Language (TEFL),1,Logistics & Transportation
834, Periwinkle Residences Limited,Dietician,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",7,Logistics & Transportation
835, Digital marketer ,Emergency Medical Technician (EMT),"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Security
836, Digital Marketer ,Family Physician,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Travel & Hospitality
837, Digital Marketing Manager ,Genetic Counselor,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",10,Construction
838, Marketing Technologist ,Massage Therapist,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",7,Consumer Products & Services
839, Creative Lead ,Medical Assistant,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",10,Business Products & Services
840, Social Media & Website Manager,Nurse,"National Board Certification (NBCT), Google Certified Educator",10,Real Estate
841, Growth Marketing Manager,Occupational Therapist,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Government Services
842, Senior General Manager ,Optometrist,"Certified Mediator, Certified Ethical Hacker (CEH)",7,Business Products & Services
843, Marketer ,Orthodontist,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",6,Software
844, Graphic and Web Designer ...,Pharmacist,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",7,Food & Beverage
845, Senior Brand Strategist | Web developer,Physical Therapist,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",6,Energy
846, Digital Marketer ,Physician Assistant,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",10,Education
847, Digital Marketer ,Psychologist,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",4,Manufacturing
848, WebDesigner And content marketer,Radiologist,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",7,IT System Development
849, Graphics Designer,Registered Nurse (RN),"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",7,IT System Development
850, SEO Expert,Speech-Language Pathologist,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",5,Manufacturing
851, Digital Marketing Specialist ,Surgeon,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",8,Consumer Products & Services
852, Web Designer ,Veterinarian,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",0,Retail
853, Digital marketer / Business Developer,Lawyer,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",10,IT System Development
854, Digital Marketing Specialist,Law Enforcement Officer,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Retail
855," Head, Product Design & Marketing",Paralegal,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",9,Software
856, Digital Marketing Executive ,Politician,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",10,Software
857, Social Media Marketing Specialist ,Social Worker,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",7,Consumer Products & Services
858, UI/UX Designer ,Astronomer,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",3,IT Management
859, Digital Marketer and Social Media Manager,Biochemist,"Google Ads Certification, Facebook Blueprint Certification",5,Advertising & Marketing
860, United Kingdom,Biologist,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",10,Consumer Products & Services
861, Digital Marketing Manager ,Chemist,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",7,Advertising & Marketing
862, Graphic Design Intern ,Climatologist,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Manufacturing
863, Digital Marketing Specialist,Ecologist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Retail
864, Digital Marketer ,Geologist,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",7,Retail
865, Growth Lead / Product Marketer,Marine Biologist,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",7,Advertising & Marketing
866, Maketing and creative lead,Mathematician,"Accredited in Public Relations (APR), Crisis Communication Certification",10,Software
867, Community Manager ,Meteorologist,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Environmental Services
868, Digital Marketing Facilitator ,Paleontologist,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Financial Services
869, Trainee ,Physicist,"Conflict Resolution Training, Certified International Trade Professional (CITP)",4,Software
870, Community Manager ,Research Scientist,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",8,Financial Services
871, Office Manager ,Statistician,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Software
872, Team member ,Counselor,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Software
873, Customer Delight Expert,Life Coach,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",8,Financial Services
874, Digital Wave Hq.,Probation Officer,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Business Products & Services
875,Aluko ,Social Worker,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",8,Real Estate
876, UI/UX Designer ,Therapist,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",6,Advertising & Marketing
877, Product Manager ,Barber,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",5,Energy
878, Product Manager ,Carpenter,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Advertising & Marketing
879," Product Manager, Fintech ",Electrician,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",5,IT Management
880, Product Owner ,Hairdresser,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",10,Financial Services
881, Technical Project Manager ,HVAC Technician,Biomedical Engineering Certificate,5,Construction
882, The Good Thing Company,Landscaper,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",7,Retail
883, Head of Product ,Mechanic,Teaching English as a Foreign Language (TEFL),0,Business Products & Services
884, Program Manager | Product Owner,Plumber,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",10,Business Products & Services
885, Product Manager ,Welder,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Food & Beverage
886, Product Manager ,Athletic Trainer,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Consumer Products & Services
887, Product/Project Manager ,Event Planner,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",5,Energy
888, IT Project Manager ,Fitness Instructor,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",10,Retail
889, Project Manager ,Flight Attendant,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",0,IT Management
890, Project Manager ,Hospitality Manager,"National Board Certification (NBCT), Google Certified Educator",2,Advertising & Marketing
891, Product Manager ,Pilot,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Advertising & Marketing
892, Product Manager ,Travel Agent,"Certified Mediator, Certified Ethical Hacker (CEH)",7,Retail
893, Interswitch Group,Mechanic,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",5,Construction
894, Product Manager ,Plumber,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",8,Government Services
895, Senior Product Manager ,Welder,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",5,Business Products & Services
896, Project Manager ,Athletic Trainer,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",4,Financial Services
897, Senior Product Manager (Sales & Growth),Event Planner,"Certified Stage Combatant, Actor's Equity Association Membership",8,IT Management
898, Product Manager ,Fitness Instructor,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",6,Consumer Products & Services
899, Product Manager ,Flight Attendant,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",5,Retail
900, Project Manager ,Hospitality Manager,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",10,Advertising & Marketing
901, Product Operations Manager ,Pilot,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",7,Retail
902, Product Manager ,Travel Agent,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",7,Telecommunications
903, Product Manager ,Life Coach,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",0,IT Management
904, Project Delivery Manager ,Probation Officer,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",10,Health
905, Production Project Manager,Social Worker,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",5,Real Estate
906, Project Manager ,Therapist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",6,Construction
907, Technical Product/Project Manager,Barber,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",3,Business Products & Services
908, Product Manager ,Carpenter,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",4,Business Products & Services
909, Product Manager ,Electrician,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",3,Business Products & Services
910, Product Manager,Hairdresser,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",5,Logistics & Transportation
911," Product Manager, Business Banking ",HVAC Technician,"Google Ads Certification, Facebook Blueprint Certification",5,Energy
912, Product Manager ,Landscaper,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",5,Government Services
913, Product Manager ,Mechanic,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",11,IT Management
914, Project Manager ,Plumber,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",8,Advertising & Marketing
915, Project Manager | Scrum Master ,Welder,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Real Estate
916, Product Manager ,Athletic Trainer,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",3,Consumer Products & Services
917, Product Management Mentor,Event Planner,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Food & Beverage
918, Associate Product Manager,Fitness Instructor,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",3,Construction
919, Product Manager ,Flight Attendant,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Consumer Products & Services
920, Project Manager ,Hospitality Manager,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Government Services
921, Product Manager ,Pilot,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Software
922, Dell Enterprise Product Manager,Travel Agent,"Certified Nonprofit Professional (CNP), Fundraising Certification",8,Insurance
923, Product Supervisor ,Cartoonist,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Health
924, Product Manager ,Cinematographer,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Advertising & Marketing
925, Product Manager ,Comic Book Artist,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,IT Management
926, Digital Product Manager ,Composer,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Retail
927, Manager ,Conductor,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",4,Financial Services
928, Contact Center Agent ,Costume Designer,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",10,Energy
929, Regional Project Manager ,Craftsperson,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Insurance
930, Product Manager ,Dancer,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",3,Travel & Hospitality
931, Product Manager ,Digital Designer,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",3,Consumer Products & Services
932, Co,Editor,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",3,Business Products & Services
933, Product Manager ,Fashion Designer,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",6,Telecommunications
934, Project Manager ,Film Director,"BSc, Business Administration and Management",10,Financial Services
935, Project Manager ,Fine Artist,"Bachelor's degree, political Science ",7,Software
936, Associate Project Manager,Floral Designer,"BS, Computer Science",10,Manufacturing
937, Technical Product Manager,Graphic Designer,BA Linguistics ,10,Logistics & Transportation
938, IT Project Manager ,Illustrator,BSc in Environmental Design,5,Software
939, Senior Scrum Master/IT Project Manager,Industrial Designer,BA Business Management ,5,Consumer Products & Services
940, Product Manager ,Interior Designer,BA.Philosophy ,10,Construction
941, Technical Project Manager ,Jewelry Designer,Bsc.Economics ,5,Consumer Products & Services
942, Product management fellow ,Landscape Architect,"LLB,Law ",8,Construction
943, Product Owner ,Lighting Designer,Bsc.Micro Biology ,5,Energy
944," Product Manager, Healthbanc",Makeup Artist,Bsc.Biochemistry ,0,Government Services
945, Product Manager ,Musician,Bsc.Economics ,9,Retail
946, Product Manager (Access More and ...,Music Producer,Bsc.Accounting ,0,Software
947, Product Manager ,Photographer,Bsc.Biology and Biological Science,6,Manufacturing
948, Product Manager Teacher ,Public Relations Specialist,Bsc.Business Administration and Management ,5,Software
949, Product Manager ,Set Designer,"BA,Linguistics ",4,Advertising & Marketing
950, Product Analyst ,Songwriter,"BASc, Computer Science",10,Manufacturing
951, Project Manager ,Sound Designer,B.Eng. Electrical and Electronics Engineering,10,IT Management
952, Project Manager ,Special Effects Artist,"Bachelor's degree, Systems Engineering",7,Financial Services
953," Product Manager, Infrastructure & B2B",Stylist,"Bachelor degree, Banking and Finance",10,Engineering
954, Techical product manager,Tattoo Artist,"BS, Geophysics",10,IT Management
955, Product Manager ,Teacher,"BSc, Computer Science with Economics",0,Construction
956, Data Analyst ,Urban Planner,"BSc, Geography and Environmental Management",5,Consumer Products & Services
957, Senior I.T Project Manager,Video Editor,B.s.c Mass communications ,6,IT Management
958, Product Manager ,Video Game Designer,"Bsc, Computer Science",5,Retail
959, Project Manager,Web Designer,"BSc, Computer Science",5,Advertising & Marketing
960, Product Manager ,Writer,"BE, Computer Engineering",10,Advertising & Marketing
961, Product Manager ,Accountant,"BE, Computer Engineering",10,Government Services
962, Technical Project Manager,Actuary,"Bachelor's degree, Economics",7,Real Estate
963, Product Operations Manager,Auditor,"Bachelor's degree, Computer Engineering",7,Health
964, Lead Client Account Manager ,Business Analyst,"BS, Computer Science",10,Retail
965, DARZZANI LTD,Business Consultant,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",7,Advertising & Marketing
966, IT Project Manager,Entrepreneur,"Bachelor of Agriculture, Agricultural Economics",4,Media
967, Technical Product Manager ,Financial Analyst,"Bachelor's degree, Accounting",6,Business Products & Services
968, Product Manager ,Human Resources Manager,"BA, English Language and Literature",10,Software
969, Project Manager ,Insurance Agent,"Bachelor’s Degree, Cinematography and Film/Video Production",6,Engineering
970, Associate Product Manager ,Investment Banker,"BE, mechantronics engineering",10,Advertising & Marketing
971," Product Manager, Mobile and Web ...",Loan Officer,BSc Electrical and Electronics Engineering ,5,Logistics & Transportation
972, Personal Assistant to Director ,Marketing Manager,"BTech, Computer Science",5,Retail
973, Product Manager ,Market Researcher,"Bachelor’s Degree, Electrical and Electronics Engineering",12,Software
974, Project Manager ,Operations Manager,"BE, Electrical and Electronics Engineering",5,Business Products & Services
975, Lead Product/Project Manager (Software ...,Project Manager,B Tech. in Quantity Surveying,3,Financial Services
976, Lead Project Manager ,Public Relations Specialist,"BS, Computer Science",7,Health
977, Technical Product Manager,Real Estate Agent,"BA, English Language and Literature, General",5,Manufacturing
978, Product Manager ,Sales Manager,"BE, Mechanical Engineering",0,Retail
979, Logistics Project Manager ,Stockbroker,"Bachelor's degree, Mass Communication/Media Studies",7,Consumer Products & Services
980, Product Manager ,Tax Advisor,"Bachelor of Science (B.Sc.), Computer Science",7,Software
981, Project Manager ,College Professor,B.Sc. Computer Science,7,Retail
982, Product Manager ,Curriculum Developer,"Bachelor of Engineering - BE, Electronic Engineering",7,Consumer Products & Services
983, Communications Manager,Educational Therapist,"BSc, Cell Biology, Molecular Biology, and Genetics",5,IT Management
984, Associate Product Manager ,Guidance Counselor,"BS, Biochemistry",3,Consumer Products & Services
985, LearnTech2Gether Community,Instructional Designer,"Chemistry/Education , Education",10,Health
986, Product Manager ,Language Teacher,"BEd, Guidance and counseling ",5,Construction
987, Product Manager ,Librarian,"Bachelor's degree, Biochemistry",8,Advertising & Marketing
988, Business Manager/Creative director,Preschool Teacher,LLB. Law,7,Insurance
989, Project Manager (Scrum Master),School Principal,"BS, Biology/Biological Sciences, 
",5,Manufacturing
990, User Operations ,Special Education Teacher,"Bachelor's degree, Economics",8,Real Estate
991, Product Manager ,Teacher,"Bachelor's degree, Natural Sciences( Microbiology)
",5,Real Estate
992, Project Manager ,Teacher Trainer,"BSc, Accounting",8,Human Resources
993, Product Manager ,Tutor,"BA, Mass Communication/Media Studies",10,Business Products & Services
994, Product Manager ,Aerospace Engineer,"BS, Accounting",1,Software
995, Product Manager ,Biomedical Engineer,"BS, Geography",5,Energy
996, Programs and Partnership Associate,Chemical Engineer,"Bachelor's degree, civil engineering",10,Business Products & Services
997, Product Manager ,Civil Engineer,"BEng, Electronic & Computer Engineering ",5,Software
998, Senior Technical Product Manager,Computer Engineer,"BE, Electrical and Electronics Engineering",10,Logistics & Transportation
999, Product Manager ,Data Scientist,"BSc, Biochemistry",5,Real Estate
1000, Project Manager ,Electrical Engineer,"BS, Computer Technology",10,Software
1001, Product Manager Events,Industrial Engineer,"BS, Computer Science",8,Retail
1002, Technical Product Manager,Marine Engineer,"Bachelor of Science - BS, Sociology",3,Advertising & Marketing
1003, Scrum Master |Project Manager,Mechanical Engineer,Bsc,5,Software
1004, Project Manager,Network Engineer,BSc. Electrical/Electronics Engineering,8,Advertising & Marketing
1005, Product Hub Africa,Robotics Engineer,BSC Mass Communication ,5,Software
1006, Associate Product Manager ,Software Developer,"BSc, Agricultural Engineering And Environmental Engineering",8,Advertising & Marketing
1007,Agoro ,Software Engineer,BSc (ED) Economics,4,Media
1008, Sales And Marketing Specialist,Systems Engineer,BSc Economics,10,Engineering
1009, Project Manager ,Web Developer,Bsc. Geology and Mineral Sciences,6,Telecommunications
1010, Team project Manager,Acupuncturist,Bsc. Petroleum engineering ,3,Software
1011, Project Manager ,Anesthesiologist,Bsc. Sociology,10,Manufacturing
1012, Chief Operations Officer ,Cardiologist,Bsc. zoology/Animal Biology,4,Construction
1013, Junior Product Manager,Chiropractor,BSc Computer science/Cybersecutity ,10,Human Resources
1014, Product Manager ,Dentist,BSc Industrial Chemistry ,6,Advertising & Marketing
1015, Project Manager ,Dental Hygienist,"BSc, Nursing ",7,Construction
1016, Lead Product Manager ,Dietician,"BSc, Biochemistry",3,Software
1017, Management Associate ,Emergency Medical Technician (EMT),BSc. Law,5,Logistics & Transportation
1018, Project Manager ,Family Physician,"BSc, Statistics",3,Insurance
1019, Product Management Lead,Genetic Counselor,B.Tech Applied Geology,10,Software
1020, Group Technical Operations Manager ...,Massage Therapist,Bsc. Marketing ,6,Business Products & Services
1021, Human Resources Project Manager,Medical Assistant,Bsc. Chemical Engineering ,0,Real Estate
1022, BON Storytelling Agency,Nurse,BSc Statistics ,3,Media
1023, E ,Occupational Therapist,BSc Computer science ,5,IT Management
1024, Product Manager ,Optometrist,B.Arch Architecture ,8,Computer Hardware
1025, Product Manager ,Orthodontist,BSc Chemical Engineering ,10,Government Services
1026, Senior Product Manager ,Pharmacist,BE Civil Engineering,5,Engineering
1027, Project Manager,Physical Therapist,BSc Tourism Management ,10,Consumer Products & Services
1028, Investment Analyst,Physician Assistant,B.eng  Petroleum Engineering ,10,Consumer Products & Services
1029, Investment Analyst trainee ,Psychologist,BSc Chemistry,10,Engineering
1030, Assistant General Manager,Radiologist,BSc Economics,8,Financial Services
1031, Project Architect ,Registered Nurse (RN),BSc Economics,2,Advertising & Marketing
1032, Financial Business Analyst / Investment ...,Speech-Language Pathologist,BSc Linguistics and communication studies,6,Government Services
1033, Money Market Operations Coordinator,Surgeon,BA History and diplomatic studies,0,Advertising & Marketing
1034, Investment Analyst ,Veterinarian,BSc Music,5,Health
1035, Investment Research Analyst ,Lawyer,BSc Biochemistry ,3,Advertising & Marketing
1036," Analyst, Research and Portfolio ...",Law Enforcement Officer,BSc Biochemistry ,3,Human Resources
1037, Financial Analyst ,Paralegal,BSc International relations and affairs,10,Logistics & Transportation
1038, Executive Director ,Politician,BSc Pure ad Industrial chemistry,10,Health
1039, African Capital Alliance,Social Worker,BSc Human Resource management ,10,Health
1040, The Chrysalis Capital,Astronomer,"BS, Metallurgical Engineering",10,Consumer Products & Services
1041, Programming ,Biochemist,BASc Real Estate,5,IT System Development
1042, ORDA,Biologist,BE. Agricultural Engineering ,10,Software
1043, Data Analyst ,Chemist,BSc Entrepreneurship studies,6,Consumer Products & Services
1044, Software Developer ,Climatologist,BSc Accounting,7,Health
1045, Operations Specialist ,Ecologist,B.Tech. Food Science and Technology ,5,Energy
1046, Investment Management ,Geologist,BSc Biochemistry ,6,Security
1047, Project Supervisor / Investment Strategies,Marine Biologist,BSc Industrial Chemistry ,10,IT System Development
1048, Senior Investment Associate ,Mathematician,Mechanical Engineering ,3,Business Products & Services
1049, EY,Meteorologist,Mechanical Engineering ,3,Real Estate
1050, Partner ,Paleontologist,BSc Biochemistry ,5,Media
1051, Void Studio,Physicist,BSc Mechanical Engineering ,5,Computer Hardware
1052, Investment Banking Associate,Research Scientist,BE Electrical and Electronics Engineering ,6,Consumer Products & Services
1053, Realtor ,Statistician,Bsc Physics and Mathematics ,10,IT System Development
1054, Interior Designer ,Counselor,Bsc Sociology ,5,Engineering
1055, Business Analyst ,Life Coach,Bsc Industrial Microbiology ,10,Health
1056, Project Manager ,Probation Officer,Bsc Applied Microbiology and Brewing,10,Construction
1057, Finance Analyst ,Social Worker,B.Tech Applied Geology,5,Advertising & Marketing
1058, Solvent Partners Limited,Therapist,B.Tech Physics electronics,6,Advertising & Marketing
1059, Freelance ,Barber,,3,Media
1060, Landmark University,Carpenter,BSc Microbiology,0,Consumer Products & Services
1061, Senior Accountant,Electrician,BA Religious studies,6,Health
1062, Project Manager ,Hairdresser,BSc Biochemistry,5,IT Management
1063, Development Bank of Nigeria Plc,HVAC Technician,BSc Pure and applied biology,7,Travel & Hospitality
1064, Entrepreneur ,Landscaper,BSc Food Science and Technology ,8,Business Products & Services
1065, Account Analyst ,Mechanic,BEng Electrical ad Electronics Engineering,8,Government Services
1066, Stock Controller ,Plumber,BSc Computer Science,5,Software
1067, Application Support Analyst,Welder,B.Tech Agricultural Engineering ,0,Consumer Products & Services
1068, Senior Software Engineer ,Athletic Trainer,BSc Computer Science,10,Advertising & Marketing
1069, Institute for Research on African Women ...,Event Planner,B.Tech Microbiology,8,Advertising & Marketing
1070, Account Officer ,Fitness Instructor,BSc Computer Science,7,Business Products & Services
1071, Administration ,Flight Attendant,BSc Computer Science,10,Real Estate
1072, MD/CEO ,Hospitality Manager,BSc Computer Science,3,Government Services
1073, Business Development and Relationship,Pilot,"B.Eng Electrical, Electronics & Communications Engineering",5,Government Services
1074, Cordros,Travel Agent,"MD, Veterinary Medicine (in view)",7,Financial Services
1075, Team lead Kon,Illustrator,BSc Computer Science and Education ,10,Retail
1076, Creative Associate ,Industrial Designer,BSc Biochemistry,10,Business Products & Services
1077, Business Support Analyst,Interior Designer,BSc Medical laboratory science,10,Environmental Services
1078," Obafemi Awolowo University, Ile",Jewelry Designer,BTech Petroleum Engineering ,7,Construction
1079, Fund Manager ,Landscape Architect,BTech Chemical Engineering ,0,Food & Beverage
1080, Green (Renewable) Energy Specialist,Lighting Designer,BSc Computer Science,10,Consumer Products & Services
1081, Project Assistant ,Makeup Artist,BSc Cell Biology and Genetics,5,Manufacturing
1082, Customer Service Specialist,Musician,B.Tech Computer Science ,9,Consumer Products & Services
1083, System Administrator ,Music Producer,BSc. Mechanical Engineering ,15,Real Estate
1084, Digital Channels Analyst ,Photographer,BSc. Architecture,7,Energy
1085, Analyst ,Public Relations Specialist,BSc. Biochemistry,10,Software
1086, Service Desk Analyst,Set Designer,Bsc Geology and Mineral Science,10,Financial Services
1087, Cost Control and Budget Analyst,Songwriter,BSc Banking and Finance,0,Software
1088, Accountant (Senior Analyst Level),Sound Designer,BA English and Literature,0,Software
1089, STI ASSET MANAGEMENT LIMITED,Special Effects Artist,BSc Computer science ,5,Advertising & Marketing
1090, Business Analyst ,Stylist,BSc Economics,10,Energy
1091, Lead Stylist & Operations Associate,Tattoo Artist,BSc Computer science ,10,Advertising & Marketing
1092, Program Manager ,Teacher,Bsc.Statistics ,10,Advertising & Marketing
1093, Customer Service Representative,Urban Planner,Bsc.Geology and Mineral Science ,7,Construction
1094, Client Management Specialist,Video Editor,Bsc.Biochemistry ,8,Energy
1095, Head of Legal ,Video Game Designer,Bsc.Botany/plant Biology,3,Advertising & Marketing
1096, Senior Internal Auditor,Web Designer,BE.Civil Drafting and Civil Engineering ,10,Consumer Products & Services
1097, Founder ,Writer,Bsc.Accounting ,4,Education
1098, Trainee ,Accountant,Bsc.Finance,0,Consumer Products & Services
1099, Software Engineer,Actuary,Bsc Agriculture ,7,IT Management
1100, Fullware Solutions Limited,Auditor,Bsc.Chemical Engineering ,7,Software
1101, Software Engineer ,Business Analyst,Bsc.Petroleum Engineering ,10,Software
1102, Business Operations Manager,Business Consultant,Bsc.Biochemistry ,10,Construction
1103, Instructor ,Entrepreneur,"BE,Civil Engineering ",5,Business Products & Services
1104, Financial Market Research Analyst,Financial Analyst,Bsc.Biochemistry ,10,Advertising & Marketing
1105, Inventory Officer at OGM gadgets,Human Resources Manager,"BE,Civil Engineering ",0,IT System Development
1106, Managing Partner ,Insurance Agent,BSc Food Engineering,7,IT Management
1107, Insurance Data Analyst ,Investment Banker,BSc Computer Science,3,Government Services
1108, Executive Trainee in Data Analytics,Loan Officer,BE. Agricultural and Bioresources engineering ,10,Retail
1109, Software Engineer | Frontend Web ...,Marketing Manager,BE. Petroleum Engineering ,5,Advertising & Marketing
1110, Senior Technical Engineer ,Market Researcher,BE. Chemical Engineering ,10,IT Management
1111, Keystone Bank Limited,Operations Manager,BA Fine Arts and design,10,IT Management
1112, Customer Support Specialist ,Project Manager,BS Plant Science and Biotechnology ,7,Food & Beverage
1113, Cinematographer and video editor,Public Relations Specialist,BSc Physiology,10,Advertising & Marketing
1114, customer service officer,Real Estate Agent,BTech Industrial and Product Design ,10,Health
1115, Head of Operations ,Sales Manager,BA Mass Communication ,4,Health
1116, MyXalary,Stockbroker,Bsc.Accounting and Finance ,5,Consumer Products & Services
1117, MD;/CEO ; PRINCIPAL PARTNER,Tax Advisor,Bsc.Agricultural Economics ,15,Government Services
1118, Head of Operations ,College Professor,"BE,French and Education",10,Human Resources
1119, Estate Manager,Curriculum Developer,Bsc.Marketing ,5,Education
1120, Manager ,Educational Therapist,Bsc.Economics ,10,IT System Development
1121, Associate ,Guidance Counselor,Bsc.Real Estate Management ,7,Real Estate
1122, Non Executive Director ,Instructional Designer,BSc Business Administration and Management ,5,Retail
1123," Founder, The Bug Detective LTD",Language Teacher,BSc Business Administration and Management ,0,Health
1124, Head of HR ,Librarian,BA Mass commuication/Media studies,10,Travel & Hospitality
1125, Senior Treasury Associate ,Preschool Teacher,BA Mass commuication/Media studies,8,Health
1126, Solutions Architect | Apigee API Engineer,School Principal,BA English Language/ Literature ,8,Construction
1127, Udacity,Special Education Teacher,BSc Anatomy,8,Logistics & Transportation
1128, Customer Service Specialist,Teacher,B.Eng. Electronics and computer Engineering ,5,Software
1129, Software Engineer ,Teacher Trainer,BSc Computer Science,10,Business Products & Services
1130, Customer Service Representative,Tutor,Bsc.Geophysics,5,Government Services
1131, CIO ,Aerospace Engineer,"BA,Bachelor of Art",1,Advertising & Marketing
